map_LCIn1-0_LTW0-6_NR-H10,0:00:02.529500
map_LCIn1-0_LTW0-6_NR-W10,0:00:03.470357
map_LCIn1-0_LTW0-7_NR-1,0:00:03.552667
map_LCIn1-0_LTW0-7_NR-H1,0:00:10.649306
map_LCIn1-0_LTW0-7_NR-W1,0:00:21.575028
map_LCIn1-0_LTW0-7_NR-H2,0:00:05.800923
map_LCIn1-0_LTW0-7_NR-W2,0:00:11.139970
map_LCIn1-0_LTW0-7_NR-H3,0:00:03.908169
map_LCIn1-0_LTW0-7_NR-W3,0:00:07.734356
map_LCIn1-0_LTW0-7_NR-H4,0:00:03.384864
map_LCIn1-0_LTW0-7_NR-W4,0:00:06.280589
map_LCIn1-0_LTW0-7_NR-H5,0:00:02.511668
map_LCIn1-0_LTW0-7_NR-W5,0:00:05.244749
map_LCIn1-0_LTW0-7_NR-H6,0:00:02.997302
map_LCIn1-0_LTW0-7_NR-W6,0:00:03.374196
map_LCIn1-0_LTW0-7_NR-H7,0:00:03.848477
map_LCIn1-0_LTW0-7_NR-W7,0:00:03.996197
map_LCIn1-0_LTW0-7_NR-H8,0:00:03.141301
map_LCIn1-0_LTW0-7_NR-W8,0:00:02.811738
map_LCIn1-0_LTW0-7_NR-H9,0:00:03.141013
map_LCIn1-0_LTW0-7_NR-W9,0:00:04.105629
map_LCIn1-0_LTW0-7_NR-H10,0:00:02.846459
map_LCIn1-0_LTW0-7_NR-W10,0:00:03.366274
map_LCIn1-0_LTW0-8_NR-1,0:00:02.467709
map_LCIn1-0_LTW0-8_NR-H1,0:00:12.285436
map_LCIn1-0_LTW0-8_NR-W1,0:00:21.353648
map_LCIn1-0_LTW0-8_NR-H2,0:00:05.961964
map_LCIn1-0_LTW0-8_NR-W2,0:00:11.581909
map_LCIn1-0_LTW0-8_NR-H3,0:00:04.142713
map_LCIn1-0_LTW0-8_NR-W3,0:00:08.094511
map_LCIn1-0_LTW0-8_NR-H4,0:00:03.835759
map_LCIn1-0_LTW0-8_NR-W4,0:00:04.906611
map_LCIn1-0_LTW0-8_NR-H5,0:00:03.685609
map_LCIn1-0_LTW0-8_NR-W5,0:00:04.674519
map_LCIn1-0_LTW0-8_NR-H6,0:00:02.979357
map_LCIn1-0_LTW0-8_NR-W6,0:00:04.301433
map_LCIn1-0_LTW0-8_NR-H7,0:00:03.146034
map_LCIn1-0_LTW0-8_NR-W7,0:00:03.681529
map_LCIn1-0_LTW0-8_NR-H8,0:00:03.738473
map_LCIn1-0_LTW0-8_NR-W8,0:00:06.961567
map_LCIn1-0_LTW0-8_NR-H9,0:00:03.215963
map_LCIn1-0_LTW0-8_NR-W9,0:00:03.473454
map_LCIn1-0_LTW0-8_NR-H10,0:00:03.739441
map_LCIn1-0_LTW0-8_NR-W10,0:00:03.644024
map_LCIn1-0_LTW0-9_NR-1,0:00:04.556391
map_LCIn1-0_LTW0-9_NR-H1,0:00:10.886247
map_LCIn1-0_LTW0-9_NR-W1,0:00:21.171414
map_LCIn1-0_LTW0-9_NR-H2,0:00:06.493200
map_LCIn1-0_LTW0-9_NR-W2,0:00:12.737531
map_LCIn1-0_LTW0-9_NR-H3,0:00:06.151150
map_LCIn1-0_LTW0-9_NR-W3,0:00:07.220609
